mc_trial,method,precision,recall,f1,accuracy,tp,tn,fp,fn
1,depth.FMp,0.5405405405405406,0.4444444444444444,0.4878048780487805,0.86,20,238,17,25
1,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
1,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
1,depth.RPp,0.2215568862275449,0.8222222222222222,0.3490566037735849,0.54,37,125,130,8
1,WICMAD,0.0,0.0,0.0,0.85,0,255,0,45
2,depth.FMp,0.5588235294117647,0.4222222222222222,0.48101265822784806,0.8633333333333333,19,240,15,26
2,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
2,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
2,depth.RPp,0.3958333333333333,0.4222222222222222,0.40860215053763443,0.8166666666666667,19,226,29,26
2,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
3,depth.FMp,0.5641025641025641,0.4888888888888889,0.5238095238095238,0.8666666666666667,22,238,17,23
3,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
3,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
3,depth.RPp,0.3170731707317073,0.5777777777777777,0.40944881889763773,0.75,26,199,56,19
3,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
4,depth.FMp,0.5882352941176471,0.4444444444444444,0.5063291139240507,0.87,20,241,14,25
4,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
4,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
4,depth.RPp,0.4,0.5333333333333333,0.4571428571428572,0.81,24,219,36,21
4,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
5,depth.FMp,0.5833333333333334,0.4666666666666667,0.5185185185185186,0.87,21,240,15,24
5,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
5,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
5,depth.RPp,0.2727272727272727,0.6,0.37499999999999994,0.7,27,183,72,18
5,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
6,depth.FMp,0.42592592592592593,0.5111111111111111,0.4646464646464646,0.8233333333333334,23,224,31,22
6,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
6,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
6,depth.RPp,0.27586206896551724,0.7111111111111111,0.3975155279503106,0.6766666666666666,32,171,84,13
6,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
7,depth.FMp,0.5510204081632653,0.6,0.5744680851063829,0.8666666666666667,27,233,22,18
7,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
7,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
7,depth.RPp,0.3048780487804878,0.5555555555555556,0.39370078740157477,0.7433333333333333,25,198,57,20
7,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
8,depth.FMp,0.5172413793103449,0.6666666666666666,0.5825242718446603,0.8566666666666667,30,227,28,15
8,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
8,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
8,depth.RPp,0.4117647058823529,0.4666666666666667,0.43749999999999994,0.82,21,225,30,24
8,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
9,depth.FMp,0.5882352941176471,0.4444444444444444,0.5063291139240507,0.87,20,241,14,25
9,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
9,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
9,depth.RPp,0.23622047244094488,0.6666666666666666,0.3488372093023256,0.6266666666666667,30,158,97,15
9,WICMAD,1.0,0.1111111111111111,0.19999999999999998,0.8666666666666667,5,255,0,40
10,depth.FMp,0.3968253968253968,0.5555555555555556,0.46296296296296297,0.8066666666666666,25,217,38,20
10,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
10,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
10,depth.RPp,0.3010752688172043,0.6222222222222222,0.4057971014492754,0.7266666666666667,28,190,65,17
10,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
11,depth.FMp,0.47619047619047616,0.4444444444444444,0.45977011494252873,0.8433333333333334,20,233,22,25
11,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
11,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
11,depth.RPp,0.25,0.4222222222222222,0.31404958677685946,0.7233333333333334,19,198,57,26
11,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
12,depth.FMp,0.5365853658536586,0.4888888888888889,0.5116279069767442,0.86,22,236,19,23
12,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
12,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
12,depth.RPp,0.22900763358778625,0.6666666666666666,0.34090909090909083,0.6133333333333333,30,154,101,15
12,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
13,depth.FMp,0.875,0.3111111111111111,0.459016393442623,0.89,14,253,2,31
13,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
13,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
13,depth.RPp,0.2621359223300971,0.6,0.36486486486486486,0.6866666666666666,27,179,76,18
13,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
14,depth.FMp,0.5,0.4222222222222222,0.4578313253012048,0.85,19,236,19,26
14,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
14,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
14,depth.RPp,0.25,0.6666666666666666,0.36363636363636365,0.65,30,165,90,15
14,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
15,depth.FMp,0.6129032258064516,0.4222222222222222,0.5,0.8733333333333333,19,243,12,26
15,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
15,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
15,depth.RPp,0.3108108108108108,0.5111111111111111,0.3865546218487395,0.7566666666666667,23,204,51,22
15,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
16,depth.FMp,0.5641025641025641,0.4888888888888889,0.5238095238095238,0.8666666666666667,22,238,17,23
16,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
16,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
16,depth.RPp,0.248,0.6888888888888889,0.36470588235294116,0.64,31,161,94,14
16,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
17,depth.FMp,0.6206896551724138,0.4,0.4864864864864865,0.8733333333333333,18,244,11,27
17,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
17,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
17,depth.RPp,0.34177215189873417,0.6,0.43548387096774194,0.7666666666666667,27,203,52,18
17,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
18,depth.FMp,0.5121951219512195,0.4666666666666667,0.48837209302325585,0.8533333333333334,21,235,20,24
18,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
18,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
18,depth.RPp,0.25,0.7111111111111111,0.3699421965317919,0.6366666666666667,32,159,96,13
