method,variant,statistic,precision,recall,f1,accuracy,tp,tn,fp,fn
depth.FMp,raw,mean,0.5848943806949368,0.49244444444444446,0.5100153559602775,0.8582000000000001,22,235,20,23
depth.FMp,raw,median,0.5505102040816326,0.4888888888888889,0.5049524369912719,0.8633333333333333,22,237,18,23
depth.RPp,raw,mean,0.3182674857399564,0.5955555555555556,0.3992906461549746,0.7246000000000001,27,191,64,18
depth.RPp,raw,median,0.30102307130180606,0.6,0.3940334922923367,0.7266666666666667,27,192,63,18
mrfDepth.fOutl,raw,mean,1.0,1.0,1.0,1.0,45,255,0,0
mrfDepth.fOutl,raw,median,1.0,1.0,1.0,1.0,45,255,0,0
fdaoutlier.msplot,raw,mean,0.15,1.0,0.26086956521739135,0.15,45,0,255,0
fdaoutlier.msplot,raw,median,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
WICMAD,raw,mean,0.7997590361445783,0.8759999999999999,0.7857499498514913,0.9370666666666666,39,242,13,6
WICMAD,raw,median,1.0,1.0,0.9155844155844155,0.9783333333333333,45,255,0,0
