mc_trial,method,precision,recall,f1,accuracy,tp,tn,fp,fn
1,depth.FMp,0.9,1.0,0.9473684210526316,0.9833333333333333,45,250,5,0
1,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
1,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
1,depth.RPp,0.8695652173913043,0.8888888888888888,0.8791208791208792,0.9633333333333334,40,249,6,5
1,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
2,depth.FMp,0.9565217391304348,0.9777777777777777,0.967032967032967,0.99,44,253,2,1
2,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
2,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
2,depth.RPp,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9733333333333334,41,251,4,4
2,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
3,depth.FMp,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
3,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
3,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
3,depth.RPp,0.8604651162790697,0.8222222222222222,0.8409090909090908,0.9533333333333334,37,249,6,8
3,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
4,depth.FMp,1.0,0.9777777777777777,0.9887640449438202,0.9966666666666667,44,255,0,1
4,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
4,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
4,depth.RPp,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9666666666666667,40,250,5,5
4,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
5,depth.FMp,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
5,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
5,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
5,depth.RPp,0.9361702127659575,0.9777777777777777,0.9565217391304347,0.9866666666666667,44,252,3,1
5,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
6,depth.FMp,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9933333333333333,44,254,1,1
6,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
6,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
6,depth.RPp,0.9743589743589743,0.8444444444444444,0.9047619047619048,0.9733333333333334,38,254,1,7
6,WICMAD,1.0,0.26666666666666666,0.4210526315789474,0.89,12,255,0,33
7,depth.FMp,0.9565217391304348,0.9777777777777777,0.967032967032967,0.99,44,253,2,1
7,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
7,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
7,depth.RPp,0.9285714285714286,0.8666666666666667,0.896551724137931,0.97,39,252,3,6
7,WICMAD,1.0,0.06666666666666667,0.125,0.86,3,255,0,42
8,depth.FMp,1.0,1.0,1.0,1.0,45,255,0,0
8,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
8,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
8,depth.RPp,0.9130434782608695,0.9333333333333333,0.9230769230769231,0.9766666666666667,42,251,4,3
8,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
9,depth.FMp,0.9565217391304348,0.9777777777777777,0.967032967032967,0.99,44,253,2,1
9,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
9,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
9,depth.RPp,0.875,0.9333333333333333,0.9032258064516129,0.97,42,249,6,3
9,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
10,depth.FMp,0.9,1.0,0.9473684210526316,0.9833333333333333,45,250,5,0
10,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
10,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
10,depth.RPp,0.8297872340425532,0.8666666666666667,0.8478260869565217,0.9533333333333334,39,247,8,6
10,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
11,depth.FMp,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
11,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
11,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
11,depth.RPp,0.9487179487179487,0.8222222222222222,0.8809523809523809,0.9666666666666667,37,253,2,8
11,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
12,depth.FMp,1.0,0.9555555555555556,0.9772727272727273,0.9933333333333333,43,255,0,2
12,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
12,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
12,depth.RPp,0.8085106382978723,0.8444444444444444,0.8260869565217391,0.9466666666666667,38,246,9,7
12,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
13,depth.FMp,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
13,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
13,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
13,depth.RPp,0.9069767441860465,0.8666666666666667,0.8863636363636364,0.9666666666666667,39,251,4,6
13,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
14,depth.FMp,0.9772727272727273,0.9555555555555556,0.9662921348314608,0.99,43,254,1,2
14,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
14,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
14,depth.RPp,0.8301886792452831,0.9777777777777777,0.8979591836734695,0.9666666666666667,44,246,9,1
14,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
15,depth.FMp,0.9565217391304348,0.9777777777777777,0.967032967032967,0.99,44,253,2,1
15,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
15,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
15,depth.RPp,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.98,42,252,3,3
15,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
16,depth.FMp,0.9183673469387755,1.0,0.9574468085106383,0.9866666666666667,45,251,4,0
16,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
16,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
16,depth.RPp,0.8125,0.8666666666666667,0.8387096774193549,0.95,39,246,9,6
16,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
17,depth.FMp,0.9574468085106383,1.0,0.9782608695652174,0.9933333333333333,45,253,2,0
17,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
17,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
17,depth.RPp,0.8775510204081632,0.9555555555555556,0.9148936170212767,0.9733333333333334,43,249,6,2
17,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
18,depth.FMp,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9933333333333333,44,254,1,1
18,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
18,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
18,depth.RPp,0.9736842105263158,0.8222222222222222,0.891566265060241,0.97,37,254,1,8
18,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
19,depth.FMp,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
19,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
19,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
19,depth.RPp,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9666666666666667,40,250,5,5
19,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
20,depth.FMp,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
20,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
20,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
20,depth.RPp,0.9512195121951219,0.8666666666666667,0.9069767441860465,0.9733333333333334,39,253,2,6
20,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
21,depth.FMp,1.0,0.9777777777777777,0.9887640449438202,0.9966666666666667,44,255,0,1
21,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
21,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
21,depth.RPp,0.926829268292683,0.8444444444444444,0.8837209302325582,0.9666666666666667,38,252,3,7
21,WICMAD,0.0,0.0,0.0,0.85,0,255,0,45
22,depth.FMp,0.9565217391304348,0.9777777777777777,0.967032967032967,0.99,44,253,2,1
22,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
22,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
22,depth.RPp,0.8809523809523809,0.8222222222222222,0.8505747126436781,0.9566666666666667,37,250,5,8
22,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
23,depth.FMp,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9933333333333333,44,254,1,1
23,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
23,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
23,depth.RPp,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.98,42,252,3,3
