method,variant,statistic,precision,recall,f1,accuracy,tp,tn,fp,fn
depth.FMp,raw,mean,0.9701232423801517,0.9851111111111112,0.9772695768368141,0.9931000000000002,44,254,1,1
depth.FMp,raw,median,0.9777777777777777,1.0,0.9782608695652174,0.9933333333333333,45,254,1,0
depth.RPp,raw,mean,0.9005908447321639,0.9064444444444446,0.9014319184532489,0.9701333333333335,41,250,5,4
depth.RPp,raw,median,0.9120772946859903,0.9111111111111111,0.9039938556067588,0.97,41,251,4,4
mrfDepth.fOutl,raw,mean,1.0,1.0,1.0,1.0,45,255,0,0
mrfDepth.fOutl,raw,median,1.0,1.0,1.0,1.0,45,255,0,0
fdaoutlier.msplot,raw,mean,0.15,1.0,0.26086956521739135,0.15,45,0,255,0
fdaoutlier.msplot,raw,median,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
WICMAD,raw,mean,0.7572289156626505,0.8175555555555556,0.7366671312403679,0.9359000000000001,37,244,11,8
WICMAD,raw,median,1.0,1.0,1.0,1.0,45,255,0,0
