mc_trial,method,precision,recall,f1,accuracy,tp,tn,fp,fn
1,depth.FMp,0.5833333333333334,0.6222222222222222,0.6021505376344085,0.8766666666666667,28,235,20,17
1,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
1,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
1,depth.RPp,0.52,0.5777777777777777,0.5473684210526315,0.8566666666666667,26,231,24,19
1,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
2,depth.FMp,0.7352941176470589,0.5555555555555556,0.6329113924050633,0.9033333333333333,25,246,9,20
2,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
2,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
2,depth.RPp,0.7666666666666667,0.5111111111111111,0.6133333333333334,0.9033333333333333,23,248,7,22
2,WICMAD,1.0,0.022222222222222223,0.04347826086956522,0.8533333333333334,1,255,0,44
3,depth.FMp,0.7714285714285715,0.6,0.675,0.9133333333333333,27,247,8,18
3,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
3,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
3,depth.RPp,0.5178571428571429,0.6444444444444445,0.5742574257425743,0.8566666666666667,29,228,27,16
3,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
4,depth.FMp,0.631578947368421,0.5333333333333333,0.5783132530120482,0.8833333333333333,24,241,14,21
4,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
4,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
4,depth.RPp,0.5263157894736842,0.6666666666666666,0.5882352941176471,0.86,30,228,27,15
4,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
5,depth.FMp,0.5660377358490566,0.6666666666666666,0.6122448979591837,0.8733333333333333,30,232,23,15
5,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
5,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
5,depth.RPp,0.2868217054263566,0.8222222222222222,0.42528735632183906,0.6666666666666666,37,163,92,8
5,WICMAD,0.0,0.0,0.0,0.85,0,255,0,45
6,depth.FMp,0.6486486486486487,0.5333333333333333,0.5853658536585367,0.8866666666666667,24,242,13,21
6,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
6,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
6,depth.RPp,0.3855421686746988,0.7111111111111111,0.5,0.7866666666666666,32,204,51,13
6,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
7,depth.FMp,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.89,24,243,12,21
7,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
7,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
7,depth.RPp,0.5087719298245614,0.6444444444444445,0.5686274509803921,0.8533333333333334,29,227,28,16
7,WICMAD,1.0,0.9777777777777777,0.9887640449438202,0.9966666666666667,44,255,0,1
8,depth.FMp,0.7567567567567568,0.6222222222222222,0.6829268292682927,0.9133333333333333,28,246,9,17
8,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
8,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
8,depth.RPp,0.7105263157894737,0.6,0.6506024096385543,0.9033333333333333,27,244,11,18
8,WICMAD,0.4492753623188406,0.6888888888888889,0.543859649122807,0.8266666666666667,31,217,38,14
9,depth.FMp,0.7647058823529411,0.5777777777777777,0.6582278481012658,0.91,26,247,8,19
9,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
9,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
9,depth.RPp,0.4473684210526316,0.7555555555555555,0.5619834710743802,0.8233333333333334,34,213,42,11
9,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
10,depth.FMp,0.7428571428571429,0.5777777777777777,0.65,0.9066666666666666,26,246,9,19
10,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
10,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
10,depth.RPp,0.3875,0.6888888888888889,0.496,0.79,31,206,49,14
10,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
11,depth.FMp,0.84,0.4666666666666667,0.6000000000000001,0.9066666666666666,21,251,4,24
11,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
11,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
11,depth.RPp,0.6896551724137931,0.4444444444444444,0.5405405405405405,0.8866666666666667,20,246,9,25
11,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
12,depth.FMp,0.78125,0.5555555555555556,0.6493506493506493,0.91,25,248,7,20
12,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
12,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
12,depth.RPp,0.6153846153846154,0.7111111111111111,0.6597938144329897,0.89,32,235,20,13
12,WICMAD,1.0,0.6444444444444445,0.7837837837837839,0.9466666666666667,29,255,0,16
13,depth.FMp,0.7692307692307693,0.6666666666666666,0.7142857142857142,0.92,30,246,9,15
13,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
13,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
13,depth.RPp,0.7297297297297297,0.6,0.6585365853658536,0.9066666666666666,27,245,10,18
13,WICMAD,0.0,0.0,0.0,0.85,0,255,0,45
14,depth.FMp,0.9090909090909091,0.4444444444444444,0.5970149253731343,0.91,20,253,2,25
14,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
14,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
14,depth.RPp,0.42424242424242425,0.6222222222222222,0.5045045045045045,0.8166666666666667,28,217,38,17
14,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
15,depth.FMp,0.7666666666666667,0.5111111111111111,0.6133333333333334,0.9033333333333333,23,248,7,22
15,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
15,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
15,depth.RPp,0.7027027027027027,0.5777777777777777,0.6341463414634145,0.9,26,244,11,19
15,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
16,depth.FMp,0.8666666666666667,0.5777777777777777,0.6933333333333332,0.9233333333333333,26,251,4,19
16,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
16,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
16,depth.RPp,0.78125,0.5555555555555556,0.6493506493506493,0.91,25,248,7,20
16,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
17,depth.FMp,0.5,0.7333333333333333,0.5945945945945945,0.85,33,222,33,12
17,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
17,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
17,depth.RPp,0.5,0.6888888888888889,0.5794392523364486,0.85,31,224,31,14
17,WICMAD,1.0,0.08888888888888889,0.163265306122449,0.8633333333333333,4,255,0,41
18,depth.FMp,0.7916666666666666,0.4222222222222222,0.5507246376811594,0.8966666666666666,19,250,5,26
18,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
18,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
18,depth.RPp,0.38571428571428573,0.6,0.4695652173913043,0.7966666666666666,27,212,43,18
18,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
19,depth.FMp,0.7741935483870968,0.5333333333333333,0.631578947368421,0.9066666666666666,24,248,7,21
19,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
19,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
19,depth.RPp,0.5357142857142857,0.6666666666666666,0.594059405940594,0.8633333333333333,30,229,26,15
19,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
20,depth.FMp,0.8787878787878788,0.6444444444444445,0.7435897435897436,0.9333333333333333,29,251,4,16
20,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
20,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
20,depth.RPp,0.6956521739130435,0.7111111111111111,0.7032967032967032,0.91,32,241,14,13
20,WICMAD,1.0,0.1111111111111111,0.19999999999999998,0.8666666666666667,5,255,0,40
21,depth.FMp,0.75,0.6,0.6666666666666665,0.91,27,246,9,18
21,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
21,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
21,depth.RPp,0.6904761904761905,0.6444444444444445,0.6666666666666666,0.9033333333333333,29,242,13,16
21,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
22,depth.FMp,0.8181818181818182,0.6,0.6923076923076923,0.92,27,249,6,18
22,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
22,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
