method,variant,statistic,precision,recall,f1,accuracy,tp,tn,fp,fn
depth.FMp,raw,mean,0.7383763290161441,0.5653333333333334,0.6281997013257383,0.8992999999999999,25,244,11,20
depth.FMp,raw,median,0.7533783783783784,0.5555555555555556,0.6233766233766235,0.9033333333333333,25,247,8,20
depth.RPp,raw,mean,0.5830050615480953,0.6439999999999999,0.5907478489207904,0.8628666666666668,29,230,25,16
depth.RPp,raw,median,0.5676470588235294,0.6444444444444445,0.5925925925925926,0.8766666666666667,29,232,22,16
mrfDepth.fOutl,raw,mean,0.9995652173913043,0.9997777777777778,0.999667860229658,0.9999000000000001,45,255,0,0
mrfDepth.fOutl,raw,median,1.0,1.0,1.0,1.0,45,255,0,0
fdaoutlier.msplot,raw,mean,0.15,1.0,0.26086956521739135,0.15,45,0,255,0
fdaoutlier.msplot,raw,median,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
WICMAD,raw,mean,0.7020919308197797,0.8595555555555555,0.7392167452532179,0.9244666666666665,39,239,16,6
WICMAD,raw,median,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,255,0,0
