mc_trial,method,variant,precision,recall,f1,accuracy,tp,tn,fp,fn
1,depth.FM,raw,0.22900763358778625,0.6666666666666666,0.34090909090909083,0.6133333333333333,30,154,101,15
1,depth.mode,raw,0.9130434782608695,0.9333333333333333,0.9230769230769231,0.9766666666666667,42,251,4,3
1,depth.RT,raw,0.6271186440677966,0.8222222222222222,0.7115384615384616,0.9,37,233,22,8
1,depth.RP,raw,0.3269230769230769,0.7555555555555555,0.45637583892617456,0.73,34,185,70,11
1,depth.RPD,raw,0.8378378378378378,0.6888888888888889,0.7560975609756098,0.9333333333333333,31,249,6,14
1,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
1,WICMAD,deriv,1.0,0.022222222222222223,0.04347826086956522,0.8533333333333334,1,255,0,44
2,depth.FM,raw,0.24242424242424243,0.5333333333333333,0.3333333333333333,0.68,24,180,75,21
2,depth.mode,raw,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9933333333333333,44,254,1,1
2,depth.RT,raw,0.6666666666666666,0.7555555555555555,0.7083333333333334,0.9066666666666666,34,238,17,11
2,depth.RP,raw,0.32727272727272727,0.8,0.46451612903225803,0.7233333333333334,36,181,74,9
2,depth.RPD,raw,0.7608695652173914,0.7777777777777778,0.7692307692307693,0.93,35,244,11,10
2,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
2,WICMAD,deriv,1.0,0.9777777777777777,0.9887640449438202,0.9966666666666667,44,255,0,1
3,depth.FM,raw,0.23595505617977527,0.4666666666666667,0.3134328358208955,0.6933333333333334,21,187,68,24
3,depth.mode,raw,0.9375,1.0,0.967741935483871,0.99,45,252,3,0
3,depth.RT,raw,0.7407407407407407,0.8888888888888888,0.808080808080808,0.9366666666666666,40,241,14,5
3,depth.RP,raw,0.34615384615384615,0.8,0.4832214765100672,0.7433333333333333,36,187,68,9
3,depth.RPD,raw,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.96,39,249,6,6
3,WICMAD,raw,0.0,0.0,0.0,0.85,0,255,0,45
3,WICMAD,deriv,1.0,0.9777777777777777,0.9887640449438202,0.9966666666666667,44,255,0,1
4,depth.FM,raw,0.2676056338028169,0.4222222222222222,0.32758620689655177,0.74,19,203,52,26
4,depth.mode,raw,0.9,1.0,0.9473684210526316,0.9833333333333333,45,250,5,0
4,depth.RT,raw,0.5909090909090909,0.8666666666666667,0.7027027027027029,0.89,39,228,27,6
4,depth.RP,raw,0.3684210526315789,0.6222222222222222,0.46280991735537186,0.7833333333333333,28,207,48,17
4,depth.RPD,raw,0.9230769230769231,0.8,0.8571428571428571,0.96,36,252,3,9
4,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
4,WICMAD,deriv,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9933333333333333,44,254,1,1
5,depth.FM,raw,0.20187793427230047,0.9555555555555556,0.33333333333333337,0.4266666666666667,43,85,170,2
5,depth.mode,raw,0.9565217391304348,0.9777777777777777,0.967032967032967,0.99,44,253,2,1
5,depth.RT,raw,0.7714285714285715,0.6,0.675,0.9133333333333333,27,247,8,18
5,depth.RP,raw,0.38613861386138615,0.8666666666666667,0.5342465753424658,0.7733333333333333,39,193,62,6
5,depth.RPD,raw,0.875,0.7777777777777778,0.823529411764706,0.95,35,250,5,10
5,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
5,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
6,depth.FM,raw,0.18823529411764706,0.7111111111111111,0.29767441860465116,0.49666666666666665,32,117,138,13
6,depth.mode,raw,0.88,0.9777777777777777,0.9263157894736842,0.9766666666666667,44,249,6,1
6,depth.RT,raw,0.5540540540540541,0.9111111111111111,0.6890756302521008,0.8766666666666667,41,222,33,4
6,depth.RP,raw,0.2532467532467532,0.8666666666666667,0.39195979899497485,0.5966666666666667,39,140,115,6
6,depth.RPD,raw,0.9230769230769231,0.8,0.8571428571428571,0.96,36,252,3,9
6,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
6,WICMAD,deriv,0.9565217391304348,0.9777777777777777,0.967032967032967,0.99,44,253,2,1
7,depth.FM,raw,0.21604938271604937,0.7777777777777778,0.33816425120772947,0.5433333333333333,35,128,127,10
7,depth.mode,raw,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.98,42,252,3,3
7,depth.RT,raw,0.6666666666666666,0.7555555555555555,0.7083333333333334,0.9066666666666666,34,238,17,11
7,depth.RP,raw,0.3130434782608696,0.8,0.45,0.7066666666666667,36,176,79,9
7,depth.RPD,raw,0.7450980392156863,0.8444444444444444,0.7916666666666666,0.9333333333333333,38,242,13,7
7,WICMAD,raw,1.0,0.9777777777777777,0.9887640449438202,0.9966666666666667,44,255,0,1
7,WICMAD,deriv,0.9574468085106383,1.0,0.9782608695652174,0.9933333333333333,45,253,2,0
8,depth.FM,raw,0.1989247311827957,0.8222222222222222,0.3203463203463203,0.4766666666666667,37,106,149,8
8,depth.mode,raw,1.0,0.8444444444444444,0.9156626506024096,0.9766666666666667,38,255,0,7
8,depth.RT,raw,0.6956521739130435,0.7111111111111111,0.7032967032967032,0.91,32,241,14,13
8,depth.RP,raw,0.3191489361702128,0.6666666666666666,0.43165467625899284,0.7366666666666667,30,191,64,15
8,depth.RPD,raw,1.0,0.7555555555555555,0.8607594936708861,0.9633333333333334,34,255,0,11
8,WICMAD,raw,1.0,0.044444444444444446,0.0851063829787234,0.8566666666666667,2,255,0,43
8,WICMAD,deriv,1.0,0.9555555555555556,0.9772727272727273,0.9933333333333333,43,255,0,2
9,depth.FM,raw,0.18823529411764706,0.7111111111111111,0.29767441860465116,0.49666666666666665,32,117,138,13
9,depth.mode,raw,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9866666666666667,43,253,2,2
9,depth.RT,raw,0.625,0.7777777777777778,0.6930693069306931,0.8966666666666666,35,234,21,10
