method,variant,statistic,precision,recall,f1,accuracy,tp,tn,fp,fn
depth.FM,raw,mean,0.22651702264455714,0.7124444444444444,0.33553303052488664,0.5699000000000001,32,139,116,13
depth.FM,raw,median,0.22557914365631498,0.7333333333333333,0.33566950291088227,0.5733333333333333,33,139,116,12
depth.mode,raw,mean,0.9381823989345556,0.9604444444444443,0.9484523871192496,0.9843333333333333,43,252,3,2
depth.mode,raw,median,0.9375,0.9555555555555556,0.9545454545454545,0.9866666666666667,43,252,3,2
depth.RT,raw,mean,0.646602056516433,0.7857777777777778,0.7034144597382286,0.9003,35,235,20,10
depth.RT,raw,median,0.6481481481481481,0.7777777777777778,0.702999702999703,0.9033333333333333,35,236,19,10
depth.RP,raw,mean,0.344541112441909,0.7457777777777777,0.45989115300136013,0.7318333333333333,34,186,69,11
depth.RP,raw,median,0.3333333333333333,0.7555555555555555,0.4553930114454635,0.7416666666666667,34,190,65,11
depth.RPD,raw,mean,0.8380391485679266,0.8371111111111113,0.8332804757944023,0.9496000000000001,38,247,8,7
depth.RPD,raw,median,0.8437908496732026,0.8444444444444444,0.8333127546610692,0.95,38,248,7,7
WICMAD,raw,mean,0.7661952098668925,0.7233333333333334,0.7178246349684245,0.9518,33,253,2,12
WICMAD,raw,median,1.0,0.9777777777777777,0.9887640449438202,0.9966666666666667,44,255,0,1
WICMAD,deriv,mean,0.7067745436199506,0.5199999999999999,0.513951291990045,0.92,23,253,2,22
WICMAD,deriv,median,0.9777777777777777,0.9333333333333333,0.6691542288557214,0.86,42,255,0,3
