mc_trial,method,variant,precision,recall,f1,accuracy,tp,tn,fp,fn
1,depth.FM,raw,0.20348837209302326,0.7777777777777778,0.3225806451612903,0.51,35,118,137,10
1,depth.mode,raw,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
1,depth.RT,raw,0.7407407407407407,0.8888888888888888,0.808080808080808,0.9366666666666666,40,241,14,5
1,depth.RP,raw,0.43243243243243246,0.7111111111111111,0.5378151260504201,0.8166666666666667,32,213,42,13
1,depth.RPD,raw,0.9565217391304348,0.9777777777777777,0.967032967032967,0.99,44,253,2,1
1,WICMAD,raw,0.0,0.0,0.0,0.85,0,255,0,45
1,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
2,depth.FM,raw,0.20394736842105263,0.6888888888888889,0.3147208121827411,0.55,31,134,121,14
2,depth.mode,raw,0.9574468085106383,1.0,0.9782608695652174,0.9933333333333333,45,253,2,0
2,depth.RT,raw,0.7068965517241379,0.9111111111111111,0.7961165048543689,0.93,41,238,17,4
2,depth.RP,raw,0.3584905660377358,0.8444444444444444,0.5033112582781456,0.75,38,187,68,7
2,depth.RPD,raw,0.8823529411764706,1.0,0.9375,0.98,45,249,6,0
2,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
2,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
3,depth.FM,raw,0.1949685534591195,0.6888888888888889,0.303921568627451,0.5266666666666666,31,127,128,14
3,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
3,depth.RT,raw,0.9090909090909091,0.8888888888888888,0.8988764044943819,0.97,40,251,4,5
3,depth.RP,raw,0.45348837209302323,0.8666666666666667,0.5954198473282443,0.8233333333333334,39,208,47,6
3,depth.RPD,raw,0.9302325581395349,0.8888888888888888,0.9090909090909092,0.9733333333333334,40,252,3,5
3,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
3,WICMAD,deriv,1.0,1.0,1.0,1.0,45,255,0,0
4,depth.FM,raw,0.2336448598130841,0.5555555555555556,0.3289473684210526,0.66,25,173,82,20
4,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
4,depth.RT,raw,0.8235294117647058,0.9333333333333333,0.8749999999999999,0.96,42,246,9,3
