method,variant,statistic,precision,recall,f1,accuracy,tp,tn,fp,fn
depth.FM,raw,mean,0.2224661677749289,0.7197777777777778,0.3330523440153668,0.5608333333333334,32,136,119,13
depth.FM,raw,median,0.21300898995240614,0.7555555555555555,0.3302319543015406,0.5616666666666668,34,134,120,11
depth.mode,raw,mean,0.9886022216754552,0.9944444444444446,0.9913967166307819,0.9974000000000001,45,254,1,0
depth.mode,raw,median,1.0,1.0,0.989010989010989,0.9966666666666667,45,255,0,0
depth.RT,raw,mean,0.7771437840932074,0.8822222222222221,0.8237775531309065,0.9431333333333335,40,243,12,5
depth.RT,raw,median,0.7735849056603774,0.8888888888888888,0.822979659153381,0.9433333333333334,40,244,12,5
depth.RP,raw,mean,0.4433606685713303,0.793111111111111,0.5581972664517205,0.8067666666666666,36,206,49,9
depth.RP,raw,median,0.43308368609573433,0.8111111111111111,0.5515905494625416,0.815,36,208,47,8
depth.RPD,raw,mean,0.9368573544768009,0.9326666666666668,0.9334898747970749,0.9800999999999999,42,252,3,3
depth.RPD,raw,median,0.9361702127659575,0.9444444444444444,0.9347826086956522,0.98,42,252,3,2
WICMAD,raw,mean,0.8195740103270224,0.7853333333333333,0.7573098694574317,0.9538333333333333,35,251,4,10
WICMAD,raw,median,1.0,1.0,1.0,1.0,45,255,0,0
WICMAD,deriv,mean,0.6800861342378455,0.4388888888888889,0.4465833009188197,0.9150999999999999,20,255,0,25
WICMAD,deriv,median,1.0,0.044444444444444446,0.0851063829787234,0.8566666666666667,2,255,0,43
