mc_trial,method,variant,precision,recall,f1,accuracy,tp,tn,fp,fn
1,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
1,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
1,depth.RT,raw,0.7,0.7777777777777778,0.7368421052631577,0.9166666666666666,35,240,15,10
1,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
1,depth.RPD,raw,0.75,0.8,0.7741935483870969,0.93,36,243,12,9
1,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
1,WICMAD,deriv,1.0,1.0,1.0,1.0,45,255,0,0
2,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
2,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
2,depth.RT,raw,0.9574468085106383,1.0,0.9782608695652174,0.9933333333333333,45,253,2,0
2,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
2,depth.RPD,raw,0.8333333333333334,1.0,0.9090909090909091,0.97,45,246,9,0
2,WICMAD,raw,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
2,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
3,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
3,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
3,depth.RT,raw,0.5733333333333334,0.9555555555555556,0.7166666666666667,0.8866666666666667,43,223,32,2
3,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
3,depth.RPD,raw,0.7017543859649122,0.8888888888888888,0.7843137254901961,0.9266666666666666,40,238,17,5
3,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
3,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
4,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
4,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
4,depth.RT,raw,0.6666666666666666,0.9333333333333333,0.7777777777777778,0.92,42,234,21,3
4,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
4,depth.RPD,raw,0.78,0.8666666666666667,0.8210526315789474,0.9433333333333334,39,244,11,6
4,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
4,WICMAD,deriv,0.9375,1.0,0.967741935483871,0.99,45,252,3,0
5,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
5,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
5,depth.RT,raw,1.0,1.0,1.0,1.0,45,255,0,0
5,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
5,depth.RPD,raw,0.8222222222222222,0.8222222222222222,0.8222222222222222,0.9466666666666667,37,247,8,8
5,WICMAD,raw,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
5,WICMAD,deriv,1.0,1.0,1.0,1.0,45,255,0,0
6,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
6,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
6,depth.RT,raw,0.7037037037037037,0.8444444444444444,0.7676767676767676,0.9233333333333333,38,239,16,7
6,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
6,depth.RPD,raw,0.7111111111111111,0.7111111111111111,0.7111111111111111,0.9133333333333333,32,242,13,13
6,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
6,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
7,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
7,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
7,depth.RT,raw,0.6557377049180327,0.8888888888888888,0.7547169811320755,0.9133333333333333,40,234,21,5
7,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
7,depth.RPD,raw,0.8333333333333334,1.0,0.9090909090909091,0.97,45,246,9,0
7,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
7,WICMAD,deriv,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
8,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
8,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
8,depth.RT,raw,0.7446808510638298,0.7777777777777778,0.7608695652173912,0.9266666666666666,35,243,12,10
8,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
8,depth.RPD,raw,0.7804878048780488,0.7111111111111111,0.7441860465116279,0.9266666666666666,32,246,9,13
8,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
8,WICMAD,deriv,1.0,1.0,1.0,1.0,45,255,0,0
9,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
9,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
9,depth.RT,raw,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9933333333333333,44,254,1,1
9,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
9,depth.RPD,raw,0.8297872340425532,0.8666666666666667,0.8478260869565217,0.9533333333333334,39,247,8,6
9,WICMAD,raw,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
9,WICMAD,deriv,1.0,1.0,1.0,1.0,45,255,0,0
10,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
10,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
10,depth.RT,raw,0.7735849056603774,0.9111111111111111,0.8367346938775511,0.9466666666666667,41,243,12,4
10,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
10,depth.RPD,raw,0.38317757009345793,0.9111111111111111,0.5394736842105263,0.7666666666666667,41,189,66,4
10,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
10,WICMAD,deriv,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
11,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
11,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
11,depth.RT,raw,0.82,0.9111111111111111,0.8631578947368421,0.9566666666666667,41,246,9,4
11,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
11,depth.RPD,raw,0.8809523809523809,0.8222222222222222,0.8505747126436781,0.9566666666666667,37,250,5,8
11,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
11,WICMAD,deriv,1.0,1.0,1.0,1.0,45,255,0,0
12,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
12,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
12,depth.RT,raw,0.8958333333333334,0.9555555555555556,0.924731182795699,0.9766666666666667,43,250,5,2
12,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
12,depth.RPD,raw,0.6176470588235294,0.9333333333333333,0.7433628318584071,0.9033333333333333,42,229,26,3
12,WICMAD,raw,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
12,WICMAD,deriv,1.0,1.0,1.0,1.0,45,255,0,0
13,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
13,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
13,depth.RT,raw,0.673469387755102,0.7333333333333333,0.702127659574468,0.9066666666666666,33,239,16,12
13,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
