method,variant,statistic,precision,recall,f1,accuracy,tp,tn,fp,fn
depth.FM,raw,mean,1.0,1.0,1.0,1.0,45,255,0,0
depth.FM,raw,median,1.0,1.0,1.0,1.0,45,255,0,0
depth.mode,raw,mean,1.0,1.0,1.0,1.0,45,255,0,0
depth.mode,raw,median,1.0,1.0,1.0,1.0,45,255,0,0
depth.RT,raw,mean,0.7710627347163423,0.9008888888888889,0.8271410949890827,0.9420666666666668,41,242,13,4
depth.RT,raw,median,0.7631741140215716,0.9111111111111111,0.8186147186147188,0.9433333333333334,41,243,12,4
depth.RP,raw,mean,0.9993478260869566,1.0,0.9996703296703296,0.9999000000000001,45,255,0,0
depth.RP,raw,median,1.0,1.0,1.0,1.0,45,255,0,0
depth.RPD,raw,mean,0.7726188544055101,0.8644444444444445,0.8101523430431193,0.9363666666666667,39,242,13,6
depth.RPD,raw,median,0.794185598767809,0.8666666666666667,0.8275862068965518,0.9466666666666667,39,245,10,6
WICMAD,raw,mean,0.7375903614457832,0.82,0.7665625,0.9501999999999999,37,248,7,8
WICMAD,raw,median,1.0,1.0,1.0,1.0,45,255,0,0
WICMAD,deriv,mean,0.46917011651907214,0.48,0.47390759159406215,0.9192333333333333,22,254,1,23
WICMAD,deriv,median,0.0,0.0,0.0,0.85,0,255,0,45
