method,variant,statistic,precision,recall,f1,accuracy,tp,tn,fp,fn
depth.FM,raw,mean,0.8827893405739349,0.9317777777777778,0.9050136457738818,0.9704666666666667,42,249,6,3
depth.FM,raw,median,0.8775510204081632,0.9333333333333333,0.9072164948453608,0.97,42,249,6,3
depth.mode,raw,mean,0.9609701401254356,0.9593333333333334,0.9594589779905566,0.9878333333333333,43,253,2,2
depth.mode,raw,median,0.9761904761904762,0.9555555555555556,0.9659046881053857,0.99,43,254,1,2
depth.RT,raw,mean,0.6634588034987543,0.8717777777777777,0.7492612024231652,0.9119000000000002,39,234,21,6
depth.RT,raw,median,0.6607142857142857,0.8666666666666667,0.7500000000000001,0.9133333333333333,39,235,20,6
depth.RP,raw,mean,0.5966942317713493,0.8531111111111112,0.6930315772315079,0.8838666666666668,38,227,28,7
depth.RP,raw,median,0.5932203389830508,0.8666666666666667,0.6990291262135923,0.89,39,228,26,6
depth.RPD,raw,mean,0.25256531853146,0.6211111111111111,0.3429548222580461,0.6324666666666667,28,162,93,17
depth.RPD,raw,median,0.2347382431233363,0.6222222222222222,0.3384663981678907,0.6466666666666666,28,166,89,17
WICMAD,raw,mean,0.910413730378449,0.786,0.8349736057023519,0.9600333333333334,35,253,2,10
WICMAD,raw,median,1.0,0.8444444444444444,0.9156626506024096,0.9766666666666667,38,255,0,7
WICMAD,deriv,mean,0.3955088024549021,0.3011111111111111,0.2751052591193986,0.8794333333333332,14,250,5,31
WICMAD,deriv,median,0.0,0.0,0.0,0.85,0,255,0,45
